date,headline,source,sentiment,score
2026-06-11,"Sensex today | Stock Market Highlights: Sensex, Nifty end lower as West Asia tensions weigh; IT stocks extend losing streak",BusinessLine,Neutral,0.0
2026-06-10,"Sensex today | Stock Market Highlights: Sensex, Nifty end flat as early gains fade; gold prices slide sharply",BusinessLine,Neutral,-0.016666666666666663
2026-05-18,"Sensex today | Stock Market Highlights: Sensex closes flat, Nifty ends at 23,650 as Iran war worries offset IT gains",BusinessLine,Neutral,-0.025
2026-06-01,Nifty-50 valuation faces test as global capital chases faster earnings growth,BusinessLine,Neutral,0.0
2026-06-04,Sensex today | Stock Market Live: Stock to buy today: Olectra Greentech,BusinessLine,Positive,0.13636363636363635
2026-06-08,"Sensex today | Stock Market Highlights: Sensex settles at 73,524.26, down 719.08 pts (0.97%); Nifty ends at 23,123, down 243.70 pts (1.04%)",BusinessLine,Negative,-0.15555555555555556
2026-05-21,Ahead of Market: 10 things that will decide stock market action on Friday,The Times of India,Neutral,0.1
2026-05-15,Pre-market action: Here's the trade setup for today's session,The Times of India,Neutral,0.1
2026-05-29,Mid and small-cap earnings growth keeps broader market outlook positive: Arunasset’s Ankit Patel,BusinessLine,Positive,0.11363636363636363
2026-05-26,Ahead of Market: 10 things that will decide stock market action on Wednesday,The Times of India,Neutral,0.1
2026-06-12,FIFA 2026 is so much more than football,The Times of India,Positive,0.5
2026-05-18,INDIA BONDS-Oil-led global bond rout pushes India 10-year yield to 7-week high,The Times of India,Neutral,0.08
2026-05-24,Ahead of Market: 10 things that will decide stock market action on Monday,The Times of India,Neutral,0.1
2026-05-20,"Sensex drops 600 points, Nifty below 23,450. 5 key factors behind today's D-St rout",The Times of India,Negative,-0.2
2026-06-03,"Sensex recovers 1,000 points from day’s low, Nifty above 23,450. One big reason behind sharp market rebound!",The Times of India,Negative,-0.11125
2026-05-18,India missed out on AI and now its run as market darling may be over,The Times of India,Neutral,0.0
2026-05-31,India falls behind Taiwan in market rankings—but which market is better positioned to handle risk?,Livemint,Neutral,0.04999999999999999
2026-05-13,"India underperformed Korea by 180 percentage points; but the worst FII selling may be over, says Vikash Kumar Jain",The Times of India,Negative,-1.0
2026-05-13,Ahead of Market: 10 things that will decide stock market action on Thursday,The Times of India,Neutral,0.1
2026-05-22,Central Bank of India shares tumble as government launches OFS,The Times of India,Neutral,0.0
2026-05-23,India Rupee shows strong rebound on firm RBI support,The Times of India,Positive,0.11666666666666667
